sentence,label
"think of commodus as the percy wetmore ( of pant-wetter the green mile ) of the roman empire - a whiny , sleazy , "" respect-me-because-my-father-was-a-good-man "" brat who hates when he's not the center of attention .",1
"director : alan parker writers : alan parker and oliver stone ( based on the musical by andrew lloyd webber and tim rice ) starring : madonna , antonio banderas , jonathan pryce , jimmy nail , andrea corr andrew lloyd webber's musicals , preferably his early work with lyricist tim rice , present a musical which is totally unlike any musical before its time .",2
"like "" jesus christ superstar , "" which examined the rise and fall of jesus in his last days from a fame perspective ( in the cool tune "" superstar , "" a dead judas comes back from the dead to ask jesus why he didn't spread his message wider ) , "" evita "" takes an inventive stance on its topic , this time being the famed wife of argentinian dictator , juan perÃ³n , eva , who slept her way to the top and became famous chiefly because she got attention , much like the woman playing her : madonna ( although i think madonna did rise to the top for her musical talent , among other things ) . """,2
"evita "" deals with the rise and fall of eva perÃ³n , a woman who captured the heart of the nation after marrying juan ( jonathan pryce ) , then died at the young age of 33 , creating an international stir of mourning not unlike that of princess di ( the two do share a bit in common , although it wasn't like di slept to "" the top "" ) .",1
"here , they wish to expose her for what she is , but still show that despite all of her many drawbacks , her lying , and covering up for her fascist husband , but show that she was still a good woman with fairly good intentions , and her death was very sad .",1
"it has a distance that's hard to put a finger on , and it seems to represent that all this is coming to a quick and sad ending , and when one sees slade in the dressing room before the show , docked in a silver frock with wings and blue hair , depressingly staring into the mirror , it comes off as a none-too-obvious prophecy of the finale in the beginning of the film .",0
"this movie's not so much about plot , but more about the way it is presented , making this one of those films which is classified as being "" style over substance , "" a statement which prompts many critics to line up for attack .",0
"however , for the most part , the engaging part of this film is not the story but rather the way in which haynes creates this world , by using his sets , costumes , cinematography , and especially the music to play as characters in his film .",2
"the soundtrack , which is wall to wall , consists of old school glam rock tunes by the likes of brian eno , t-rex , and roxy music , as well as covers by slade's band ( with vocals by thom yorke , and occasionally rhys meyers himself ) , and even newer music by shudder to think that sounds uncannily bowie-like .",1
"although eddie izzard , as slade's manager ( who challenges slade's first manager to an arm-wrestling match to see who gets control of his career ) and michael feast as the first and tragic manager come off greatly , and collette and mcgregor have their moments , rhys meyers and bale are noticably sub-par , neither putting a lot of effort into their respective roles .",1
"rhys meyers' brian slade remains merely a metaphor for the glam rock era , dying when he turned into a retro-garbo , resorting to a life of salinger-ism , and found in the mid-70s to be lying around , sniffing coke off the ass of a party girl .",0
"bale's character is an especially tough sell : bitter and depressed by flashbacks to his young adulthood , he's not an extremely personal character , and his cliched experiences ( being hounded by the record store guys for buying a record put out by a "" poof "" ) never help us communicate with him .",0
"nevertheless , rhys meyers and mcgregor have the excuses that their characters are not really characters but rather the results of an era that has left them , and others , bitter , part of which helps the film work , since this is a major piece of eye candy .",2
"at the prime of the movie , they at least look the role of fashionable leaders - slade with his perpetually-changing , androgonys persona , and wild with his topless and unpredictable image , which clash and fuse into an unstable union .",2
"the beginning is captivating but slow , the middle is fantastic , and the ending is not only shallow but worse than that , it drags ( the final half hour not only does it not bring the story to any real conclusion , it could probably stop at any point ) .",0
"still , it does what the oliver stone pic "" the doors "" didn't do right , becoming very insightful to what happened , using the visual style to hit most of the right notes of contrast between what made the era so great to those who lived during it and why after living through such an era that everything else seems half-assed ( i suppose the message is : "" live life , but after you've lived it , what else is the point when you'll be forced to live with regretful memories ? """,2
"in 1994 , an insider's look at a scandal-ridden run for the democratic presidential nomination ( closely based on clinton's 1992 campaign ) was written anonymously ( former newsweek writer joe klein later claimed true authorship ) .",1
"although the film strays into some obviously non-clinton territory , it is difficult to completely separate it from reality ( particularly when certain scenes seem to highlight the president's current troubles ) .",1
"he leaves with him his mother doris ( beverly d'angelo ) , his sister davina ( jennifer lien ) , and his younger brother danny ( edward furlong ) years later when derek is let out of prison he comes to see a shaved head nazi danny .",1
"i can only imagine how pissed off williamson , rodriguez , and everyone else involved in the movie must have been to see the film marketed as just another schlocky entry into the horror genre , which generally takes the words aliens ; teenagers ; battle ; suspicious ; killer ; small town ; etc .",0
"now if you are already a big 80's horror fan , just skip this review , because you already saw the movie , but this review is for people who are highly suspicious of shelling out eight bucks to see a horror flick .",0
"actually , the faculty is just as witty as scream , slightly less original , but makes up with it by acknowledging its status as essentially an update of donald siegel's 1956 classic invasion of the body snatchers , one of the most frightening movies ever made , before hollywood began trying to make you jump in your seat rather than truly fear the end of the world .",2
"but , unlike his substance-lite stylizations in desperado and from dusk till dawn , rodriguez manages to hold onto the wit and character of williamson's script and fashion a film that not only gets your heart racing , but also manages enough intelligence to force you to suspend your disbelief .",2
old friends jackie ( bannen ) and michael ( kelley ) try to find the lottery winner ( they deduce must live in their dinky town of about 60 ) so that they might kiss up to him and share the winnings .,1
"director : robert altman || screenplay : robert altman ( based on an original story by john grisham ) || stars : kenneth branagh ( rick magruder ) , embeth davidtz ( mallory doss ) , robert downey jr .",1
"( clyde pell ) , daryl hannah ( lois harlan ) , robert duvall ( dixon doss ) , tom berenger ( pete randle ) , famke janssen ( leeanne ) , jesse james ( jeff ) , mae whitman ( libby ) || mpaa rating : r whenever writer/director robert altman works in a specific genre , he has the tendency to rewrite it on his own terms .",1
"instead of being a grand ode to the powers of the legal profession , "" the gingerbread man "" is a rain-soaked , southern gothic noir thriller with wildly eccentric characters , a twisting plot line , black humor , a somewhat bleak ending , and even altman's trademark full-frontal female nudity .",0
"rick finds out that mallory is being terrorized and stalked by her slightly psychotic father , dixon doss ( robert duvall ) , a grungy , stringy , bare-footed old man who leads a commune of other greasy old codgers .",1
"but , no matter what the genre , he is always sure to give it the altman stamp , which usually consists of all kinds of idiosyncratic quirks and little details that are often missed without repeat viewings . """,1
"it doesn't seem like he does much because he has very little spoken dialogue , but watch him closely during the film's one courtroom scene : his entire performance is in his eyes and his body language , and few actors could have pulled it off without being either silly or overbearing .",2
"while "" the gingerbread man "" isn't in league with altman's greatest works like "" nashville "" ( 1975 ) or "" the player "" ( 1992 ) , it is nonetheless a solid piece of genre filmmaking , which may prove a successful vehicle to restart his somewhat lagging career .",2
"glory--starring matthew broderick , denzel washington , and morgan freeman--is the true story of the 54th regiment of massachusetts , the first black fighting unit recruited by the north during the civil war .",1
"to the contrary , they are chaotic and horrifying ; it's just that director edward zwick ( the co-creator of "" thirtysomething "" ) films them with far more subtlety and restraint than oliver stone could ever muster .",1
"like any war film , glory has its share of gloom and despair , but ultimately it proves to be a truly uplifting experience and an important history lesson , a valuable reminder that despite what the history books say ( or , more precisely , what they do not say ) , blacks played a critically important role in the north's victory over the south--forever changing the evolution of america .",2
"rothmpaa : not rated ( though from language , violence , medical-gross-outs , and sexual content , i'd put it at pg ) though made in canada , "" overdrawn at the memory bank "" traces its roots to the bbc school of film production .",1
"using , for the most part , cheap computer and video special effects , chyron text , wildlife documentary footage , and sets that are sometimes obviously faked up , it nonetheless manages to tell a good enough science fiction story that by the time you're twenty minutes into it , you should be hooked .",2
"and while people of today may well laugh at fourteen years past's idea of futuristic data processing clerks , some aspects of this film are surprisingly perfectly in keeping with the way we think of "" virtual reality "" today .",2
"( columbia-phoenix - 1996 ) starring woody harrelson , courtney love , edward norton , james cromwell , crispin glover , james carville , brett harrelson , donna hanover screenplay by scott anderson & larry karaszewski produced by oliver stone , janet yang , michael hausman directed by milos forman running time : 127 minutes note : some may consider portions of the following text to be spoilers .",1
"larry flynt , is a vastly entertaining ( if not particularly enlightening ) biopic of hustler publisher and self-made millionaire larry flynt , who became an unlikely champion of freedom of speech rights in the united states in the late 1970s and early 1980s .",2
"what sets flynt apart from other publishers is his struggles against those who would have him cease publication of his adult material , and who railed and preached against him - flynt spent time in incarceration and was paralyzed by an assassination attempt - and his driven , single-minded insistence to buck the system and fight for his freedom of expression , regardless of personal cost .",2
"larry flynt also weaves in the bittersweet story of flynt's true love , althea leasure , whom he meets as a dancer in his club and later marries , and who devotedly stands alongside him throughout his trials and tribulations .",2
"much of the comedy is elicited from larry flynt's outlandish stunts at his courtroom appearances - some of his chosen apparel is hilarious - and for the most part these elements of the film work far better than some of the more dramatic points , such as an uninspiring flynt monologue set at a free speech rally in front of an enormous american flag dealing with the subjectivity of obscenity .",2
"one can sense the frustration that norton's character feels when harrelson's free-talking flynt sabotages trial after trial on him by openly speaking his mind , and this results in a heightened emotional punch when norton's isaacman has the opportunity to sway the supreme court judges .",2
"milos forman keeps the film moving - although it runs over two hours , it never drags - and his direction of the film is very effective , eliciting a great deal of empathy for a subject which could be construed by some as extremely sordid and unsympathetic .",2
"consequently , the first thirty minutes of the film , introducing and setting up the characters , seem unduly rushed ; perhaps it is merely due to the fact that these characters are so interesting , but i felt it would have worked better if this route was taken in a more leisurely fashion .",1
"in a lot of ways jurassic park : the lost world was a creative three-way braiding together of michael crichton's novel the lost world , arthur conan doyle's novel the lost world , and the classic silent film version of the doyle .",2
"the debate on whether cinema is to blame for teenagers turning into hoodlums has only begun to heat up , and already someone's made a movie about it , and it's not , thank god , a tragic account of a family ripped apart by the effect violence in films had on a teenage boy .",1
"using a robin hood mentality of robbing from the rich to pay the poor ( in this case , however , they pay themselves ) , matthew mcconaughey ( willis newton ) ethan hawke ( jess newton ) skeet ulrich ( joe newton ) , and vincent d'onofrio ( dock newton ) are featured as the four brothers who are loyal to each other and to their profession .",1
"as the brothers plot each robbery , there is a hint of detail reminiscent of a documentary style approach by director richard linklater ( 'dazed and confused' , 'before sunrise' ) and the visual style the film projects is very impressive and candidly entertaining .",2
"his portrayal of willis newton , a man raised dirt poor who had a tough life and claims to have went to prison as an innocent man , is someone many people can generate sympathy for and these factors fuel his desire to rob banks as we see him at the start of the film as an ex-con as someone asks him : "" how was prison ? """,2
"after establishing these relationship problems and throwing in the love quarrels that burns's father ( "" frasier "" 's john mahoney ) is having with their mother , burns allows them to unfold in much the same fashion that similar events unfolded in burns's first film .",1
"first , the brothers talk about their relationships ; in the next scene one of the brothers does something impetuous or stupid ; as a result , in a subsequent scene , the brothers have to talk about how * that * affected their relationships .",1
"all of this makes for a lot of repetition ( the story about why burns broke up with diaz is brought up at least eight times ) , and inevitably leads to the point where one of the brothers' wives or girlfriends does something independently impetuous , stupid , or long overdue , at which point , the brothers are forced to talk about * that * and maybe get into a fight .",1
"i can't decide if i first thought it because i watched a lot of tv or because my brother hit me in the head with a baseball bat , but i'm pretty sure andrew niccol , screenwriter for the truman show , has had the same curious thought .",2
"it begins with jim carrey looking into a mirror , reciting the crucial "" eat me "" scene from alive , wishing his neighbors a good day , afternoon and evening , and living in domestic bliss with his wife ( laura linney ) .",1
"similar cruel manipulations keep him from stumbling upon the truth , not the least of them truman's best friend marlon ( noah emmerich ) , who assures him he's not in on any conspiracy because the last thing he'd ever do is hurt him .",1
"most fundamentally , it's just plain interesting to follow along as director peter weir shows us just how they can capture a person's life without the person realizing it -- how they coordinate extras , hide cameras and feed automatic lines to actors .",1
"sure , the most interesting tv genre of the '90s has been reality programming and jerry springer's popularity is through the roof , but those people deserve to be humiliated for turning their intimate details over to the airwaves .",2
"this season could probably be the most ambitious = season this decade with hollywood churning out films like deep impact , = godzilla , the x-files , armageddon , the truman show , all of which has but = one main aim , to rock the box office .",2
deep impact begins with the discovery of an earth bound comet during a = school astronomy outing by leo beiderman ( elijah wood ) which = subsequently stirred up the political community of the world .,1
"keeping = the information under wraps to prevent widespread panic , president beck = ( morgan freeman ) took it upon himself and his subordinates to execute a = highly secretive space project to destroy the comet before it hits = earth .",1
"while pursuing a sex-scandal story amongst the presidential = ranks , ambitious up and coming reporter , jenny lerner ( tea leoni ) = unfolds the wool that president beck has pulled over the citizens of the = world .",1
"a team of astronauts , led by the ageing veteran = astronaut spurgeon tanner ( robert duvall ) , was secretly trained to carry = out the mission to land on the comet and create and explosion with a = nuclear device , with the hope of blowing it out of its current path = towards earth .",1
"when the attempt to avert wolf-beiderman's path failed and caused the = comet to split into two : comet wolf and comet beiderman , the president = unfolds his contingency plan to evacuate part of the population , leaving = the rest to die .",1
"leo's struggle when he learns that = his girlfriend is not part of the population to be saved , lerner's = dwindling relationship with her father and her pain for the mother's = loneliness , tanner's strive to gain the respect he deserves from his = crew and his ultimate sacrifice , all form the backbone of deep impact's = moving moments .",2
"while the premise of both may be the = same , execution and focus of the films will in fact show that deep = impact has more focus on human elements than armageddon , which is done = by the team which brought us bad boys , crimson tide and the rock .",2
"i realize that this is going to sound pretty bizarre , but it's probably the best analogy that i can come up with right now ; you know how when you see a spider or something in your toilet , striving helplessly to get out , and instead of just flushing him , you end up kind of rooting for the little guy ?",2
"rounders reviewed by jamie peckrating :  miramax / 1 : 55 / 1998 / r ( language , beatings , brief nudity/sexual content ) cast : matt damon ; edward norton ; john turturro ; martin landau ; gretchen mol ; famke janssen ; john malkovich ; michael rispoli director : john dahl screenplay : david levien ; brian koppelmanyou don't have to know poker to like "" rounders , "" but it might help .",1
"that a great deal of this sharp little drama is set in the back rooms of new york's cardshark underground astoundingly doesn't limit its accessibility , even for those who can't tell royal and straight flushes apart . """,2
"but after losing all of his tuition money in a killer high-stakes match with russian poker aficionado teddy kgb ( john malkovich , deliciously hammy ) , he shifts his focus to scholarly matters , leaving his true area of expertise far , far behind .",1
"things change , however , when mike's old buddy worm ( edward norton ) re-enters his life - it seems worm , just out of jail , owes a hefty sum to nasty thugs , and is counting on his friend's superlative skills to help him pay off the debt .",1
"director john dahl , infamous for his neo-noirs "" red rock west "" and "" the last seduction , "" gets extremely convincing mileage out of the been-there , done-that plot mechanics by trumping up the relationship between mike and worm .",2
"damon and norton bring so much to their roles that they'd be worth catching even if "" rounders "" ultimately folded , but the movie ups its fascinating ante by contrasting their wildly different ways of winning .",2
"that moral , by the way , is "" our destiny chooses us , "" and it's something of a surprise when "" rounders "" supports this solemn proverb by eschewing the conclusion you might expect ; mike does learn from his mistake , but neither the mistake nor the way he learns from it is what it initially appears to be .",2
"net ) starring jason biggs , thomas ian nicholas , chris klein , tara reid screenplay by adam herz directed by paul weitz american pie acknowledges a cold , hard fact that most movies don't : it is very difficult to get laid .",2
"its four virgin heroes are jim ( biggs ) , a chronic masturbator , kev ( nicholas ) , who desperately wants to deflower his girlfriend ( reid ) , oz ( klein ) , a lacrosse player whose approach requires some fine tuning , and finch ( eddie kaye thomas ) , a germphobe ( his crass nickname is hilarious , but i won't spoil it here ) who pays a classmate to spread rumours about the size of his member .",1
"after a party at their studly friend stifler's ( seann william scott , in the film's sharpest performance ) house leaves them sexually unsatisfied , the quartet make a pact : to "" lose it "" by graduation-specifically , prom night , which is only a few weeks away .",1
"what differentiates american pie from those dirty eighties comedies , aside from a very nineties obsession with bodily fluids * , is a cast that's light years more appealing than that of , say , just one of the guys .",2
"it skillfully employs a broad mix of pop tunes , much like john hughes' movies did , and even pays homage to the breakfast club a couple of times , most evidently when the prom band covers simple minds' "" don't you ( forget about me ) . """,2
"jim ( jason biggs ) , kevin ( thomas ian nicholas ) , oz ( chris klein ) and finch ( eddie kaye thomas ) are a quartet of high school students in their senior year who think sex is something they must experience to be successful in their lives ahead .",1
"there are many moments , such as this , in which director paul weitz uses a game-plan similar to the one frequently displayed in mary : to cause the audience to break down laughing in disgusting disbelief .",2
"but at one point , in which we discover that american pie does have a heart of it's own , biggs asks his buddies why he's going through so much pressure for something that's `not very important anyway . '",1
"based on the boris karloff's classic by the same name , the mummy starts off with the high-priest of osiris , imhotep , who murders the pharoah for his mistress and is punished by being mummified in the most horrifying way possible -- bandaged up , having his tongue removed , and being covered in flesh-eating scarab beetles , then entombed .",1
"recap a few thousand years later , where a soldier named rick ( played by brandan fraser ) aids a young historian named evelyn ( played by rachel wiesz ) and her brother , jonathan ( played by john hannah ) in finding the book of amon ra , in the process inadvertently freeing the mummy .",1
"the computer special effects makes for some brilliant scenes , such as unnerving moments involving flesh-eating scarab beetles and moments where the mummy goes after the people who freed him ( after all , those who took his artifacts are cursed ) .",2
"if they were trying to make a horror-action-comedy , it would have helped if it were established early on in the film , but unfortunately , with the backstory of imhotep's entombment , that would be impossible .",0
"while a lot of theatres have good sound systems , my ears were almost ringing as i walked out of the theatre ( the sound is particularly irritating and will make you crap your pants if you're not careful ) .",0
"is boyish , eccentric "" sam deed from dubuque , iowa "" a futuristic voyager from the year 2470 or just your run-of-the-mill psychologically disturbed nutcase let loose on the present-day streets of nyc ?",1
"as played by wonderful character actor vincent d'onofrio ( full metal jacket ) , it's up in the air whether or not we should accept his detailed monologues about life after the polar ice caps have melted .",2
"planet of the apes ( 2001 ) mark wahlberg , tim roth , helena bonham carter , michael clarke duncan , paul giamatti , estella warren , cary-hiroyuki tagawa , david warner , kris kristofferson , lisa marie , erick avari , evan dexter parke .",1
"because the press screening of "" planet of the apes "" was one day past last issue's deadline , i was afforded the opportunity to see the film a second time , listen to audience reactions and read a heap of reviews before writing this piece .",1
"like astronaut leo davidson ( wahlberg ) , the film hits the ground running , whisking viewers through a head-spinning series of solid one-liners and engaging vignettes and establishing a sense of thrust that carries us through the more traditional fight scenes that come later .",2
"the surprise ending provides the requisite shock ( and some more dandy visuals , particularly of the approaching authority figures ) , but admittedly isn't nearly as satisfying as the one in the original .",0
"the 1968 "" apes "" boasted a handful of great scenes , cool looking monkeys , a deliciously hammy performance by charlton heston ( who appears uncredited here as an aged chimp on his deathbed , re-delivering a classic line ) and a killer ending .",2
"the 2001 "" planet of the apes "" offers a different set of great scenes , much cooler looking monkeys , fine acting from wahlberg , bonham carter , paul giamatti and tim roth , and a not so good ending .",1
"ann ( andie macdowell ) , an unfulfilled housewife , is married to john ( peter gallagher ) , an insensitive lawyer , who , unbeknownst to her , is having an affair with her younger sister , cynthia ( laura san giacomo ) .",1
"that is the set-up for the last hour of the picture , and since the film is entitled , "" sex , lies , and videotape , "" it is best to keep the rest of the story developments at bay so that they will come as a genuine surprise .",2
"director steven soderbergh has proven to be a wildly offbeat filmmaker , ranging from the independent , to the mainstream ( 1998's "" out of sight "" ) , to the downright kafkaesque ( 1997's "" schizopolis "" ) .",1
"he is the type of director who obviously takes a lot of chances , and believes in the work that he does , and , "" sex , lies , and videotape , "" is probably his most confident , and maybe even best , to date .",2
"with the abundance of trite , recycled movies in the late '90s , there is a tremendous demand by movie lovers ( never mind movie critics ) for movies that present the wide film audience with something truly original : perhaps audaciously , perhaps purely thematically .",2
"well , think again , for the apostle , which robert duvall has wanted to make for over a decade , does not take the usual tack of smearing the minister , and by implication all , the rest of organized religion .",2
"when in the privacy of his attic , robert duvall , as texas preacher euliss "" sonny "" dewey , argues sternly with his lord , the scene shares a kinship with emily watson's character crying out for her god in breaking the waves's most powerful scene .",2
"robert duvall not only gives a moving and realistic performance surely destined to receive an academy award nomination but is also the film's director , writer , executive producer , and chief financier .",2
"the bulk of the film occurs in a small , predominately black church in louisiana , which he builds up from a derelict building with no congregation into a remodeled church ( "" one way road to heaven : holiness temple "" ) with an enthusiastic flock .",2
"we are introduced to some of the other girls in susanna's ward , including a disfigured young pyrophile named polly ( elizabeth moss ) ; susanna's roommate georgina ( clea duvall ) , who seeks refuge in the "" oz "" books of l frank baum ; and daisy ( brittany murphy ) , a woman with peculiar dietary beliefs .",1
"watching over everything is valerie ( whoopi goldberg ) , a stern but caring nurse who understands in minutes what the psychiatrists themselves never really figure out : that susanna has come to claymoore not for help , but simply to be . """,2
"despite the fact that lisa herself has no desire to remain hospitalized ( when we first meet her , she has just been recaptured after a two week absence ) , it is her presence which is susanna's most attractive reason for staying in the asylum .",1
"some of claymoore's patients have no business being there ( susanna herself , for instance ) , while some are there purely because of social tenets which today seem increasingly outdated ( one woman's only "" problem "" is that she is a lesbian ) .",1
"these scenes feel awkwardly grafted onto the rest of the film , as though scriptwriters james mangold ( who also directed ) , lisa loomer and anna hamilton phelan were afraid audiences would not be satisfied with a straightforward character study .",0
"there's a scene where john has just arrived at his mother's house , and after having driven from los angeles to sausalito , and having explained to his mother about the "" great experiment "" , beatrice asks , "" now explain to me again why you don't want to stay at a hotel . """,1
"as his first choice , brooks originally wanted to lure nancy reagan out from her acting retirement to play beatrice , but the former actress and first lady could not leave her husband , who was beginning to show symptoms of alzheimer's disease .",1
htm * * * bicentennial man is an impuissant and confused movie that follows a robot through 200 years neglecting to ever develop another character in depth or share with the audience that the title-referenced bicentennial will mark the end of a journey that seems to be equally as long and laborious for the audience .,0
"director chris columbus' film centers around a not-very-entertaining robin williams as andrew , the aforementioned machine , and his trials and tribulations which are as unexplored as the west indies that other guy named columbus supposedly discovered .",0
"but the movie is even confused about its family traits as we learn that being human is the ultimate accomplishment and you needn't mourn the dead ( for all those that pass away , only one tear is seen ) .",0
